| Epoch: 271/999999 (1/1) | Loss: 8.8912 | 2.8 steps/s | Step: 0k | 
| Epoch: 272/999999 (1/1) | Loss: 9.6897 | 2.5 steps/s | Step: 0k | 
| Epoch: 273/999999 (1/1) | Loss: 9.6460 | 2.6 steps/s | Step: 0k | 
| Epoch: 274/999999 (1/1) | Loss: 8.8487 | 2.6 steps/s | Step: 0k | 
| Epoch: 275/999999 (1/1) | Loss: 8.8033 | 2.4 steps/s | Step: 0k | 
| Epoch: 276/999999 (1/1) | Loss: 9.6047 | 2.6 steps/s | Step: 0k | 
| Epoch: 277/999999 (1/1) | Loss: 9.4534 | 2.5 steps/s | Step: 0k | 
| Epoch: 278/999999 (1/1) | Loss: 8.8687 | 2.2 steps/s | Step: 0k | 
| Epoch: 279/999999 (1/1) | Loss: 8.8250 | 2.5 steps/s | Step: 0k | 
| Epoch: 280/999999 (1/1) | Loss: 9.3711 | 2.1 steps/s | Step: 0k | 
| Epoch: 281/999999 (1/1) | Loss: 9.2645 | 2.9 steps/s | Step: 0k | 
| Epoch: 282/999999 (1/1) | Loss: 8.7691 | 2.7 steps/s | Step: 0k | 
| Epoch: 283/999999 (1/1) | Loss: 8.7298 | 2.4 steps/s | Step: 0k | 
| Epoch: 284/999999 (1/1) | Loss: 9.2381 | 2.1 steps/s | Step: 0k | 
| Epoch: 285/999999 (1/1) | Loss: 9.1495 | 2.5 steps/s | Step: 0k | 
| Epoch: 286/999999 (1/1) | Loss: 8.7496 | 2.3 steps/s | Step: 0k | 
| Epoch: 287/999999 (1/1) | Loss: 8.7161 | 1.9 steps/s | Step: 0k | 
| Epoch: 288/999999 (1/1) | Loss: 9.0273 | 2.3 steps/s | Step: 0k | 
| Epoch: 289/999999 (1/1) | Loss: 8.9439 | 2.0 steps/s | Step: 0k | 
